cvae,cvae_cali,fnn,fnn_cali,rf,rf_cali,gp,,,,,,,,,,,,,,,,,,,,
0.257420063,0.297900677,0.18846488,0.178386927,0.105662107,0.106784105,0.8799843,,,,,,,,,,,,,,,,,,,,
0.255373716,0.34442234,0.180151939,0.176239967,0.10637188,0.107702017,0.9043904,,,,,,,,,,,,,,,,,,,,
0.259313107,0.276780844,0.176220894,0.178750992,0.105828047,0.107257128,0.8887946,,,,,,,,,,,,,,,,,,,,
0.261624098,0.261532307,0.175227165,0.176957846,0.106612444,0.10691905,0.8723429,,,,,,,,,,,,,,,,,,,,
0.259720087,0.258878946,0.175626993,0.177424192,0.106574059,0.107169151,0.9063432,,,,,,,,,,,,,,,,,,,,
0.257022142,0.240581036,0.174532175,0.172591925,0.10627985,0.106612921,0.8764579,,,,,,,,,,,,,,,,,,,,
0.258213997,0.258409023,0.176002979,0.173181057,0.105843067,0.106937647,0.8938686,,,,,,,,,,,,,,,,,,,,
0.260021925,0.265692949,0.175730944,0.177522898,0.106407166,0.106724739,0.9157503,,,,,,,,,,,,,,,,,,,,
0.258067846,0.26009798,0.176658869,0.177525997,0.105967999,0.107016087,0.8711081,,,,,,,,,,,,,,,,,,,,
0.262106895,0.260586023,0.176398039,0.177352905,0.106384754,0.107564926,0.878161,,,,,,,,,,,,,,,,,,,,
0.261476755,0.257636786,0.17614007,0.174746037,0.105844975,0.107472181,0.9131269,,,,,,,,,,,,,,,,,,,,
0.257163048,0.264414072,0.175076723,0.177411079,0.106445074,0.106546879,0.8907942,,,,,,,,,,,,,,,,,,,,
0.259432077,0.261161089,0.177059174,0.173808813,0.105917931,0.107198,0.9086815,,,,,,,,,,,,,,,,,,,,
0.258348942,0.265535116,0.174983025,0.174921989,0.106426001,0.106373787,0.9106176,,,,,,,,,,,,,,,,,,,,
0.259996176,0.260318041,0.173923731,0.173556089,0.106355906,0.107079744,0.8935265,,,,,,,,,,,,,,,,,,,,
0.259967804,0.261699915,0.179321051,0.176711798,0.105890036,0.106032133,0.92742,,,,,,,,,,,,,,,,,,,,
0.270182133,0.259686708,0.175268173,0.173435211,0.106331825,0.106521845,0.9187355,,,,,,,,,,,,,,,,,,,,
0.259400129,0.267321825,0.176132679,0.172292233,0.108918905,0.106645823,0.8835832,,,,,,,,,,,,,,,,,,,,
0.257294178,0.260164022,0.17626214,0.173884869,0.110925913,0.107109785,0.9033998,,,,,,,,,,,,,,,,,,,,
0.26063323,0.263912916,0.175963163,0.172447205,0.109846115,0.107341051,0.9085547,,,,,,,,,,,,,,,,,,,,
0.257647276,0.262769699,0.176430941,0.176021099,0.11246419,0.106529951,0.9015571,,,,,,,,,,,,,,,,,,,,
0.26178503,0.267551899,0.17541194,0.172150135,0.110208035,0.107042789,0.8879614,,,,,,,,,,,,,,,,,,,,
0.258948088,0.255921841,0.172204018,0.173876047,0.111715794,0.106660128,0.920961,,,,,,,,,,,,,,,,,,,,
0.25845027,0.26658988,0.175163269,0.174504042,0.109549046,0.107197046,0.8830345,,,,,,,,,,,,,,,,,,,,
0.259972095,0.263544083,0.177598238,0.174736977,0.106434822,0.106669188,0.8895161,,,,,,,,,,,,,,,,,,,,
0.260418177,0.264578819,0.185479164,0.171996117,0.105855942,0.106917858,0.9148301,,,,,,,,,,,,,,,,,,,,
0.241663933,0.267588139,0.187727928,0.173860073,0.106762886,0.106577873,0.8881012,,,,,,,,,,,,,,,,,,,,
0.253078938,0.261930704,0.183300018,0.17231679,0.106519938,0.107386112,0.8931763,,,,,,,,,,,,,,,,,,,,
0.254835844,0.263229132,0.190250158,0.177060843,0.106160164,0.106598854,0.9151194,,,,,,,,,,,,,,,,,,,,
0.259088039,0.258248806,0.185617924,0.175739288,0.106391907,0.107059956,0.9086627,,,,,,,,,,,,,,,,,,,,
0.25987196,0.24359107,0.176077127,0.172221184,0.106005192,0.106611013,0.9121346,,,,,,,,,,,,,,,,,,,,
0.253528118,0.262364149,0.177179098,0.17700696,0.106548309,0.106975079,0.9388233,,,,,,,,,,,,,,,,,,,,
0.256345987,0.268213987,0.176923752,0.177161932,0.105885983,0.107378006,0.8934592,,,,,,,,,,,,,,,,,,,,
0.253006697,0.261192322,0.175268888,0.183503866,0.106511831,0.107837915,0.9065399,,,,,,,,,,,,,,,,,,,,
0.250897169,0.266346216,0.175795078,0.190973759,0.105842829,0.107214928,0.9280392,,,,,,,,,,,,,,,,,,,,
0.250945807,0.258363247,0.17603302,0.184337854,0.106400967,0.106783867,0.8898474,,,,,,,,,,,,,,,,,,,,
